code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P042;Occupation du domaine;Recette;Investissement;0
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P043;Occupation du domaine (operations assujetties);Recette;Fonctionnement;1401000
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P082;Territoire et proximite;Depense;Fonctionnement;126200
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P082;Territoire et proximite;Depense;Investissement;35211
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-02;Gestion de la voie publique;;;P082;Territoire et proximite;Recette;Fonctionnement;2400000
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Depense;Fonctionnement;1291246
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Depense;Investissement;1088140
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Depense;Subventions;0
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Recette;Fonctionnement;177000
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Recette;Investissement;0
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P045;Proximite et animation;Depense;Fonctionnement;110000
D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P045;Proximite et animation;Depense;Investissement;370000
