Code_Politique_Dominante;Description_Politique_Dominante;Code_Secteur_Intervention;Description_Secteur_Intervention;Code_Sous_Secteur;Description_Sous_Secteur_Interv;Code_Programme;Description_Programme;Nature_Affect_Operation;Vsectsubv;Vmt_Bp
G-;Vie en societe;G-02;Education;;;P065;Patrimoine et equipements de l'education;Recette;Investissement;720000
G-;Vie en societe;G-02;Education;;;P066;Actions educatives;Depense;Fonctionnement;1335840
G-;Vie en societe;G-02;Education;;;P066;Actions educatives;Depense;Investissement;631750
G-;Vie en societe;G-02;Education;;;P066;Actions educatives;Depense;Subventions;67400
G-;Vie en societe;G-02;Education;;;P066;Actions educatives;Recette;Fonctionnement;171800
G-;Vie en societe;G-02;Education;;;P067;Vie scolaire;Depense;Fonctionnement;12305861
G-;Vie en societe;G-02;Education;;;P067;Vie scolaire;Recette;Fonctionnement;5004000
G-;Vie en societe;G-02;Education;;;P068;Vie etudiante;Depense;Fonctionnement;1000
G-;Vie en societe;G-02;Education;;;P068;Vie etudiante;Depense;Subventions;8300
G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Depense;Fonctionnement;115000
G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Depense;Investissement;100000
G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Depense;Subventions;8952119
G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Recette;Fonctionnement;2976000
G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Recette;Investissement;0
G-;Vie en societe;G-03;Jeunesse;;;P070;Accueil et hebergement;Depense;Fonctionnement;190000
G-;Vie en societe;G-03;Jeunesse;;;P070;Accueil et hebergement;Depense;Investissement;170000
G-;Vie en societe;G-03;Jeunesse;;;P070;Accueil et hebergement;Recette;Fonctionnement;540000
G-;Vie en societe;G-03;Jeunesse;;;P071;Engagement et participations des jeunes;Depense;Fonctionnement;24000
G-;Vie en societe;G-03;Jeunesse;;;P071;Engagement et participations des jeunes;Depense;Subventions;0
G-;Vie en societe;G-03;Jeunesse;;;P071;Engagement et participations des jeunes;Recette;Fonctionnement;2000
G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Depense;Fonctionnement;0
G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Depense;Investissement;0
G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Depense;Subventions;553144
G-;Vie en societe;G-04;Developpement social terr.;;;P072;Accompagnement des projets de quartier;Recette;Fonctionnement;159875
G-;Vie en societe;G-04;Developpement social terr.;;;P121;Sante;Depense;Fonctionnement;0
G-;Vie en societe;G-04;Developpement social terr.;;;P121;Sante;Depense;Subventions;0
G-;Vie en societe;G-04;Developpement social terr.;;;P121;Sante;Recette;Fonctionnement;0
G-;Vie en societe;G-04;Developpement social terr.;;;P122;Prevention de la delinquance;Depense;Fonctionnement;0
G-;Vie en societe;G-04;Developpement social terr.;;;P122;Prevention de la delinquance;Depense;Subventions;0
G-;Vie en societe;G-04;Developpement social terr.;;;P122;Prevention de la delinquance;Recette;Fonctionnement;0
G-;Vie en societe;G-04;Developpement social terr.;;;P127;Accompagnement de projets transversaux;Depense;Fonctionnement;166000
G-;Vie en societe;G-04;Developpement social terr.;;;P127;Accompagnement de projets transversaux;Depense;Subventions;1875267,61
G-;Vie en societe;G-04;Developpement social terr.;;;P127;Accompagnement de projets transversaux;Recette;Fonctionnement;56250
G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P075;Activites des seniors;Depense;Fonctionnement;273000
G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P075;Activites des seniors;Depense;Investissement;167000
G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P075;Activites des seniors;Depense;Subventions;82500
G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P075;Activites des seniors;Recette;Fonctionnement;119066
G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P076;Portage et restauration des seniors;Depense;Fonctionnement;1920000
G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P076;Portage et restauration des seniors;Recette;Fonctionnement;1354450
G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P077;Residences seniors;Depense;Investissement;0
G-;Vie en societe;G-06;Cohesion sociale transversale;;;P073;Projet social;Depense;Fonctionnement;145000
G-;Vie en societe;G-06;Cohesion sociale transversale;;;P073;Projet social;Depense;Subventions;188400
